Date,Store_ID,Product_Category,Sales,Promotion,Holiday,Customers,Temperature,Rainfall,Discount_Percentage,Stock_Available,Year,Month,Week,Quarter,Previous_Week_Sales,Moving_Average_4_Weeks
2025-03-30,S002,Grocery,11512.04,0,0,613,28.5,12.3,0.9,1448,2025,3,13,1,20109.79,16220.93
2025-04-13,S002,Home,12131.21,0,0,563,30.6,12.1,0.1,1237,2025,4,15,2,11512.04,16384.940000000002
2025-04-20,S002,Beauty,13690.07,1,0,598,21.5,4.0,17.7,1703,2025,4,16,2,12131.21,14360.7775
2025-06-01,S002,Clothing,11051.8,0,0,426,36.9,14.3,3.7,1477,2025,6,22,2,13690.07,12096.279999999999
2025-06-15,S002,Grocery,10694.51,0,0,410,31.1,10.9,1.0,1465,2025,6,24,2,11051.8,11891.897500000001
2025-11-16,S002,Grocery,11006.16,0,0,598,33.0,4.9,2.1,1436,2025,11,46,4,10694.51,11610.635
2025-11-23,S002,Home,10276.25,0,0,424,29.2,5.6,1.7,1236,2025,11,47,4,11006.16,10757.18
2025-12-28,S002,Clothing,17900.67,1,0,662,30.9,5.1,25.3,1515,2025,12,52,4,10276.25,12469.3975
2026-03-29,S002,Home,17899.42,0,1,718,34.0,9.7,3.8,1534,2026,3,13,1,17900.67,14270.625
2026-04-19,S002,Electronics,9507.31,0,0,367,29.2,5.9,0.1,1085,2026,4,16,2,17899.42,13895.9125
2026-04-26,S002,Electronics,16829.33,1,0,666,31.3,7.7,9.8,1664,2026,4,17,2,9507.31,15534.1825
2026-08-23,S002,Clothing,18003.04,1,0,691,27.6,24.5,20.6,1760,2026,8,34,3,16829.33,15559.775000000001
2026-08-30,S002,Home,12824.41,0,0,519,27.9,1.1,2.9,1306,2026,8,35,3,18003.04,14291.022500000003
2026-11-08,S002,Electronics,12620.31,0,0,611,24.5,5.1,3.9,1423,2026,11,45,4,12824.41,15069.272500000003
2027-03-07,S002,Electronics,9769.62,0,0,435,39.6,4.4,1.4,1385,2027,3,9,1,12620.31,13304.345000000001
2027-04-25,S002,Beauty,11450.41,0,0,542,31.0,24.0,4.3,1365,2027,4,16,2,9769.62,11666.187500000002
2027-05-16,S002,Grocery,10972.49,0,0,456,29.4,10.0,3.5,1239,2027,5,19,2,11450.41,11203.207500000002
2027-07-11,S002,Electronics,17141.98,1,0,691,23.8,14.6,19.3,1781,2027,7,27,3,10972.49,12333.625000000002
2027-07-18,S002,Beauty,8999.37,0,0,459,34.3,16.5,3.7,1338,2027,7,28,3,17141.98,12141.062500000002
2027-08-29,S002,Beauty,9576.72,0,0,356,27.7,6.3,4.7,1151,2027,8,34,3,8999.37,11672.640000000003
2027-09-19,S002,Electronics,16503.21,1,0,676,18.7,5.6,18.3,1756,2027,9,37,3,9576.72,13055.320000000003
2027-11-07,S002,Electronics,10841.31,0,0,463,22.5,17.6,4.1,1223,2027,11,44,4,16503.21,11480.152500000002
2028-02-06,S002,Home,21607.92,1,1,775,30.7,12.5,26.9,1707,2028,2,5,1,10841.31,14632.29
2028-03-26,S002,Electronics,15502.21,0,1,560,32.9,27.2,2.2,1334,2028,3,12,1,21607.92,16113.6625
2028-05-07,S002,Clothing,10527.01,0,0,332,24.5,21.7,2.0,1218,2028,5,18,2,15502.21,14619.612500000001
2028-05-14,S002,Grocery,22534.69,1,1,990,27.2,7.8,20.1,1759,2028,5,19,2,10527.01,17542.9575
2028-06-04,S002,Clothing,11810.04,0,0,568,36.9,9.4,0.9,1262,2028,6,22,2,22534.69,15093.487500000001
2028-07-09,S002,Beauty,12293.91,0,0,556,28.4,7.8,0.9,1271,2028,7,27,3,11810.04,14291.412500000002
2028-12-17,S002,Clothing,15478.02,0,1,554,22.1,4.2,2.3,1348,2028,12,50,4,12293.91,15529.165
2028-12-24,S002,Grocery,13462.95,0,0,507,25.5,3.5,1.0,1149,2028,12,51,4,15478.02,13261.230000000003
2028-12-31,S002,Beauty,19296.76,1,0,787,29.3,13.7,21.7,1944,2028,12,52,4,13462.95,15132.910000000002
2029-05-20,S002,Grocery,13619.07,1,0,452,27.1,16.9,7.5,1343,2029,5,20,2,19296.76,15464.200000000003
2029-12-30,S002,Electronics,13083.11,0,0,554,33.8,17.3,4.8,1244,2029,12,52,4,13619.07,14865.472500000002
2030-01-13,S002,Beauty,15275.21,1,0,656,31.9,15.1,17.0,1692,2030,1,2,1,13083.11,15318.5375
2030-01-20,S002,Electronics,10159.63,0,0,445,28.9,12.3,4.5,1405,2030,1,3,1,15275.21,13034.255000000001
2030-02-03,S002,Electronics,21476.71,1,1,818,21.5,3.2,14.2,1812,2030,2,5,1,10159.63,14998.665
2030-02-10,S002,Clothing,10130.15,0,0,450,29.6,10.1,5.0,1334,2030,2,6,1,21476.71,14260.425000000001
2030-02-24,S002,Electronics,9646.6,0,0,447,31.7,0.6,2.2,1301,2030,2,8,1,10130.15,12853.272500000001
2030-03-03,S002,Clothing,16574.1,1,0,620,31.9,19.3,21.3,1687,2030,3,9,1,9646.6,14456.890000000001
2030-03-10,S002,Beauty,11564.37,0,0,510,27.2,16.1,1.5,1274,2030,3,10,1,16574.1,11978.805000000002
2030-04-21,S002,Beauty,23101.52,1,1,873,18.4,13.7,15.0,1782,2030,4,16,2,11564.37,15221.647500000001
2030-04-28,S002,Grocery,11591.23,0,0,419,28.5,6.3,3.5,1369,2030,4,17,2,23101.52,15707.805
2030-05-12,S002,Beauty,9955.82,0,0,593,23.5,12.4,3.3,1325,2030,5,19,2,11591.23,14053.235
2030-06-09,S002,Grocery,15394.17,0,1,616,31.3,11.8,1.2,1370,2030,6,23,2,9955.82,15010.685000000001
2030-08-11,S002,Electronics,11779.47,0,0,514,29.6,26.9,4.1,1401,2030,8,32,3,15394.17,12180.1725
2030-08-18,S002,Home,13712.77,0,0,551,28.3,5.1,0.7,1351,2030,8,33,3,11779.47,12710.557500000003
2030-09-08,S002,Grocery,9372.27,0,0,452,24.7,11.3,0.9,1394,2030,9,36,3,13712.77,12564.670000000002
2030-09-22,S002,Beauty,14335.62,0,0,543,26.0,19.7,5.0,1370,2030,9,38,3,9372.27,12300.032500000001
2030-09-29,S002,Grocery,9907.17,0,0,429,27.0,15.1,2.8,1085,2030,9,39,3,14335.62,11831.9575
2030-10-20,S002,Home,9856.7,0,0,427,33.9,14.2,2.1,1297,2030,10,42,4,9907.17,10867.940000000002
2031-02-09,S002,Home,8955.01,0,0,501,23.9,13.6,4.8,1231,2031,2,6,1,9856.7,10763.625000000002
2031-02-23,S002,Beauty,11375.93,0,0,414,32.9,13.3,2.3,1394,2031,2,8,1,8955.01,10023.702500000003
2031-03-30,S002,Electronics,17276.27,1,0,626,31.7,3.7,23.2,1606,2031,3,13,1,11375.93,11865.9775
2031-04-06,S002,Grocery,8704.61,0,0,368,30.9,10.8,2.7,1177,2031,4,14,2,17276.27,11577.955000000002
2031-04-20,S002,Grocery,12899.71,0,0,558,26.2,5.6,2.2,1228,2031,4,16,2,8704.61,12564.130000000001
2031-06-01,S002,Grocery,18126.59,0,1,717,34.7,12.0,2.8,1492,2031,6,22,2,12899.71,14251.795000000002
2031-06-08,S002,Grocery,12861.57,0,0,441,25.3,3.9,3.9,1378,2031,6,23,2,18126.59,13148.12
2031-06-22,S002,Home,11559.12,0,0,446,36.1,4.9,1.6,1443,2031,6,25,2,12861.57,13861.747500000001
2031-08-31,S002,Clothing,11545.8,0,0,598,32.8,3.5,2.6,1431,2031,8,35,3,11559.12,13523.27
2031-11-16,S002,Clothing,8732.17,0,0,375,24.9,6.5,0.3,1290,2031,11,46,4,11545.8,11174.665
2031-11-23,S002,Clothing,26186.16,1,1,919,30.8,4.4,17.7,1733,2031,11,47,4,8732.17,14505.8125
2031-12-28,S002,Grocery,17886.16,1,0,790,30.0,9.8,7.8,1613,2031,12,52,4,26186.16,16087.5725
2032-01-04,S002,Electronics,22169.94,1,1,864,41.5,3.5,23.0,1652,2032,1,1,1,17886.16,18743.607500000002
2032-01-25,S002,Grocery,12152.7,0,0,589,29.3,5.7,4.6,1404,2032,1,4,1,22169.94,19598.74
2032-02-08,S002,Beauty,7278.63,0,0,330,31.8,12.4,2.2,1360,2032,2,6,1,12152.7,14871.8575
2032-02-15,S002,Clothing,12162.87,0,0,505,27.1,0.7,1.4,1226,2032,2,7,1,7278.63,13441.035000000002
2032-02-29,S002,Electronics,10458.44,0,0,461,22.6,19.8,1.9,1295,2032,2,9,1,12162.87,10513.160000000002
2032-04-04,S002,Electronics,11111.97,0,0,418,31.5,6.3,3.4,1275,2032,4,14,2,10458.44,10252.9775
2032-05-16,S002,Beauty,13020.32,0,0,563,29.0,6.5,4.4,1416,2032,5,20,2,11111.97,11688.400000000001
2032-08-15,S002,Clothing,18294.9,1,0,642,32.9,2.2,29.8,1567,2032,8,33,3,13020.32,13221.407500000001
2032-09-26,S002,Beauty,14442.58,1,0,640,32.2,10.0,9.4,1753,2032,9,39,3,18294.9,14217.442500000001
2032-10-17,S002,Grocery,9890.38,0,0,474,21.4,5.6,2.3,1305,2032,10,42,4,14442.58,13912.045
2032-11-07,S002,Home,10243.52,0,0,412,36.0,13.3,1.2,1087,2032,11,45,4,9890.38,13217.845000000001
2032-11-21,S002,Home,15118.58,0,1,657,29.2,3.2,4.4,1404,2032,11,47,4,10243.52,12423.765000000001
2032-11-28,S002,Beauty,11893.27,0,0,458,27.5,13.7,2.1,1106,2032,11,48,4,15118.58,11786.437500000002
2032-12-05,S002,Clothing,11273.27,0,0,573,28.8,17.7,4.6,1427,2032,12,49,4,11893.27,12132.160000000002
2032-12-12,S002,Beauty,18584.23,1,0,736,35.7,6.9,27.5,1779,2032,12,50,4,11273.27,14217.337500000001
2033-01-09,S002,Electronics,11494.24,0,0,475,25.2,4.2,4.8,1489,2033,1,1,1,18584.23,13311.2525
2033-01-23,S002,Clothing,12169.68,0,0,513,36.7,7.8,0.1,1359,2033,1,3,1,11494.24,13380.355000000001
2033-04-03,S002,Clothing,11202.81,0,0,530,32.1,16.1,1.4,1477,2033,4,13,2,12169.68,13362.740000000002
2033-05-22,S002,Clothing,17513.15,0,1,679,25.9,18.6,4.0,1448,2033,5,20,2,11202.81,13094.970000000001
2033-11-27,S002,Clothing,13181.14,0,0,501,32.8,3.4,0.2,1144,2033,11,47,4,17513.15,13516.695000000003
2034-03-05,S002,Beauty,10931.51,0,0,536,27.6,7.6,0.7,1126,2034,3,9,1,13181.14,13207.152500000002
2034-03-12,S002,Home,21054.82,1,0,757,29.3,10.2,29.1,1673,2034,3,10,1,10931.51,15670.155
2034-03-19,S002,Grocery,10554.45,0,0,478,30.3,11.9,2.7,1375,2034,3,11,1,21054.82,13930.48
2034-04-30,S002,Clothing,10378.27,0,0,390,22.8,21.4,1.7,1184,2034,4,17,2,10554.45,13229.7625
2034-05-21,S002,Home,15682.66,1,0,581,37.8,4.1,12.8,1745,2034,5,20,2,10378.27,14417.550000000003
2034-05-28,S002,Clothing,16216.68,1,0,751,27.9,10.5,12.7,1798,2034,5,21,2,15682.66,13208.015000000003
2034-07-02,S002,Home,17225.92,1,0,661,25.2,8.2,19.8,1601,2034,7,26,3,16216.68,14875.882500000003
2034-07-16,S002,Beauty,10028.25,0,0,359,37.2,10.0,3.0,1234,2034,7,28,3,17225.92,14788.377500000002
2034-07-30,S002,Clothing,10451.47,0,0,575,25.9,3.2,2.9,1423,2034,7,30,3,10028.25,13480.58
2034-08-06,S002,Home,6883.12,0,0,532,28.9,15.3,2.4,1282,2034,8,31,3,10451.47,11147.19
2034-12-10,S002,Home,9736.03,0,0,485,37.9,5.6,2.6,1359,2034,12,49,4,6883.12,9274.717500000002
2034-12-17,S002,Grocery,18926.94,1,0,751,24.5,4.1,28.1,1630,2034,12,50,4,9736.03,11499.390000000001
2035-01-21,S002,Electronics,9785.02,0,0,464,32.0,20.6,1.1,1163,2035,1,3,1,18926.94,11332.7775
2035-02-04,S002,Clothing,16276.19,0,1,619,30.8,3.4,4.3,1320,2035,2,5,1,9785.02,13681.045000000002
2035-05-20,S002,Home,10713.65,0,0,481,30.8,3.3,3.0,1322,2035,5,20,2,16276.19,13925.450000000003
2035-09-02,S002,Grocery,14872.36,1,0,661,32.1,7.4,11.2,1538,2035,9,35,3,10713.65,12911.805000000002
2035-11-04,S002,Grocery,11997.54,0,0,424,27.5,8.9,4.5,1252,2035,11,44,4,14872.36,13464.935000000003
2035-12-02,S002,Grocery,9161.16,0,0,455,25.4,10.0,0.6,1332,2035,12,48,4,11997.54,11686.177500000002
2035-12-23,S002,Grocery,11457.37,0,0,542,28.4,2.2,1.3,1318,2035,12,51,4,9161.16,11872.107500000002
2035-12-30,S002,Grocery,14986.37,0,1,676,28.3,8.0,1.3,1377,2035,12,52,4,11457.37,11900.610000000002
2036-01-13,S002,Grocery,17923.67,1,0,767,25.0,7.6,13.1,1636,2036,1,2,1,14986.37,13382.142500000002
2036-05-18,S002,Grocery,8896.17,0,0,427,29.1,13.8,0.3,1090,2036,5,20,2,17923.67,13315.895
2036-06-15,S002,Home,12379.81,0,0,552,25.8,2.5,2.0,1246,2036,6,24,2,8896.17,13546.505000000001
2036-06-22,S002,Home,10811.64,0,0,410,27.1,4.4,0.7,1250,2036,6,25,2,12379.81,12502.822500000002
2036-06-29,S002,Clothing,11506.24,0,0,536,24.9,7.5,2.5,1185,2036,6,26,2,10811.64,10898.465000000002
2036-08-10,S002,Clothing,11054.89,0,0,459,19.6,8.0,5.0,1242,2036,8,32,3,11506.24,11438.145000000002
2036-09-07,S002,Clothing,13073.25,0,0,489,27.9,19.7,3.8,1229,2036,9,36,3,11054.89,11611.505000000001
2036-10-26,S002,Clothing,12493.67,0,0,573,32.0,4.6,3.3,1378,2036,10,43,4,13073.25,12032.0125
2037-02-01,S002,Clothing,17907.59,1,0,571,31.3,2.3,19.0,1581,2037,2,5,1,12493.67,13632.350000000002
2037-02-08,S002,Clothing,10677.91,0,0,404,29.8,8.5,1.3,1264,2037,2,6,1,17907.59,13538.105000000001
2037-05-03,S002,Beauty,18521.04,1,0,700,21.1,8.9,16.0,1698,2037,5,18,2,10677.91,14900.052500000002
2037-05-17,S002,Beauty,11895.89,0,0,491,20.0,4.6,4.4,1338,2037,5,20,2,18521.04,14750.607500000002
2037-05-24,S002,Home,19935.21,1,0,656,26.1,2.2,25.5,1820,2037,5,21,2,11895.89,15257.512500000003
2037-05-31,S002,Home,9473.46,0,0,418,36.5,24.9,3.7,1200,2037,5,22,2,19935.21,14956.400000000001
2037-06-21,S002,Home,11392.47,0,0,583,29.2,4.3,2.2,1518,2037,6,25,2,9473.46,13174.257500000002
2037-08-30,S002,Electronics,10045.35,0,0,494,32.7,24.5,2.9,1260,2037,8,35,3,11392.47,12711.622500000001
2037-09-27,S002,Clothing,17171.89,0,1,693,31.3,6.8,4.3,1478,2037,9,39,3,10045.35,12020.792500000001
2037-10-04,S002,Clothing,12386.51,0,0,544,35.8,7.9,3.1,1322,2037,10,40,4,17171.89,12749.055000000002
2037-10-11,S002,Electronics,9758.47,0,0,331,33.5,6.7,0.1,1100,2037,10,41,4,12386.51,12340.555
2037-10-18,S002,Beauty,14401.92,0,0,653,25.7,8.2,3.5,1616,2037,10,42,4,9758.47,13429.697500000002
2037-11-08,S002,Beauty,14659.06,1,0,520,32.7,11.1,13.9,1704,2037,11,45,4,14401.92,12801.490000000002
2037-12-13,S002,Electronics,8243.46,0,0,425,23.7,4.8,0.0,1240,2037,12,50,4,14659.06,11765.7275
2038-01-24,S002,Beauty,17712.89,1,0,740,30.5,4.0,6.1,1573,2038,1,3,1,8243.46,13754.3325
2038-02-07,S002,Grocery,14943.06,1,0,566,24.8,8.3,16.4,1535,2038,2,5,1,17712.89,13889.6175
2038-03-14,S002,Electronics,12536.8,0,0,495,33.8,5.5,3.6,1392,2038,3,10,1,14943.06,13359.052500000002
2038-03-28,S002,Clothing,15475.2,1,0,627,30.9,4.3,12.9,1672,2038,3,12,1,12536.8,15166.987500000001
2038-07-11,S002,Electronics,11443.87,0,0,514,35.3,4.0,3.8,1217,2038,7,27,3,15475.2,13599.732500000002
2038-07-25,S002,Electronics,10742.89,0,0,532,25.1,9.3,3.1,1314,2038,7,29,3,11443.87,12549.690000000002
2038-08-29,S002,Home,12445.12,0,0,489,35.0,3.1,3.7,1284,2038,8,34,3,10742.89,12526.770000000002
2038-09-12,S002,Home,16190.43,1,0,673,34.3,12.0,18.4,1631,2038,9,36,3,12445.12,12705.577500000003
2038-10-31,S002,Beauty,17043.74,1,0,646,34.0,16.2,15.3,1727,2038,10,43,4,16190.43,14105.545000000002
2038-11-07,S002,Beauty,19488.6,0,1,828,31.3,3.2,2.6,1481,2038,11,44,4,17043.74,16291.972500000002
2038-11-21,S002,Beauty,17841.06,1,0,626,26.7,2.2,9.5,1624,2038,11,46,4,19488.6,17640.9575
2038-12-19,S002,Home,12900.92,0,0,583,33.1,16.3,3.0,1281,2038,12,50,4,17841.06,16818.58
2039-01-30,S002,Electronics,19576.61,0,1,801,30.1,4.1,0.9,1465,2039,1,4,1,12900.92,17451.7975
2039-03-20,S002,Clothing,18977.69,1,0,700,28.9,5.3,16.9,1540,2039,3,11,1,19576.61,17324.070000000003
2039-04-03,S002,Beauty,10372.86,0,0,468,33.6,13.9,2.0,1296,2039,4,13,2,18977.69,15457.020000000004
2039-04-17,S002,Beauty,12393.85,0,0,567,31.4,13.7,4.6,1243,2039,4,15,2,10372.86,15330.252500000002
2039-06-05,S002,Beauty,18805.21,1,0,543,23.8,5.0,28.8,1472,2039,6,22,2,12393.85,15137.402500000002
2039-06-12,S002,Electronics,10233.75,0,0,402,27.5,15.7,4.1,1329,2039,6,23,2,18805.21,12951.417500000003
2039-07-24,S002,Beauty,18418.24,1,0,673,31.1,6.5,25.8,1586,2039,7,29,3,10233.75,14962.762500000004
2039-08-14,S002,Electronics,18873.24,0,1,810,29.5,4.3,1.3,1535,2039,8,32,3,18418.24,16582.61
2039-10-09,S002,Electronics,11254.24,0,0,466,31.0,9.9,2.9,1301,2039,10,40,4,18873.24,14694.867500000002
2039-11-06,S002,Beauty,16654.05,1,0,736,31.6,5.4,9.0,1661,2039,11,44,4,11254.24,16299.942500000003
2039-11-20,S002,Grocery,16738.97,0,1,652,31.8,11.8,2.1,1519,2039,11,46,4,16654.05,15880.125000000004
2039-12-18,S002,Electronics,15283.72,1,0,596,30.0,4.3,23.3,1650,2039,12,50,4,16738.97,14982.745000000003
2040-01-15,S002,Grocery,9910.66,0,0,456,28.6,3.2,3.2,1099,2040,1,2,1,15283.72,14646.850000000002
2040-01-22,S002,Home,17436.25,1,0,690,27.1,11.4,10.5,1595,2040,1,3,1,9910.66,14842.400000000001
2040-05-13,S002,Grocery,20372.26,1,1,900,29.4,23.4,7.6,1738,2040,5,19,2,17436.25,15750.7225
2040-07-08,S002,Home,15758.25,0,1,764,26.6,24.6,2.9,1290,2040,7,27,3,20372.26,15869.355
2040-07-22,S002,Beauty,10758.83,0,0,563,31.1,8.5,2.9,1498,2040,7,29,3,15758.25,16081.397500000001
2040-08-26,S002,Beauty,8397.82,0,0,342,34.9,9.3,1.3,1409,2040,8,34,3,10758.83,13821.79
2040-10-28,S002,Home,15656.95,0,0,674,35.8,5.4,1.5,1420,2040,10,43,4,8397.82,12642.962500000003
2040-12-23,S002,Grocery,8539.75,0,0,336,30.2,16.2,3.6,1339,2040,12,51,4,15656.95,10838.337500000001
2040-12-30,S002,Grocery,9144.14,0,0,403,24.3,8.2,1.8,1143,2040,12,52,4,8539.75,10434.665000000003
2041-01-13,S002,Home,12415.49,0,0,495,31.1,1.3,2.3,1373,2041,1,2,1,9144.14,11439.082500000002
2041-01-27,S002,Clothing,12167.76,0,0,565,34.1,6.3,0.5,1492,2041,1,4,1,12415.49,10566.785000000002
2041-02-10,S002,Electronics,10250.25,0,0,423,42.0,5.0,3.7,1439,2041,2,6,1,12167.76,10994.410000000002
2041-05-12,S002,Beauty,14866.83,0,1,703,20.7,8.1,2.7,1423,2041,5,19,2,10250.25,12425.0825
2041-06-09,S002,Home,13291.06,1,0,601,30.6,6.4,14.9,1529,2041,6,23,2,14866.83,12643.975000000002
2041-10-06,S002,Beauty,17083.49,0,1,749,27.7,23.5,2.1,1406,2041,10,40,4,13291.06,13872.907500000001
2041-11-03,S002,Home,15401.01,1,0,668,27.2,15.0,20.2,1599,2041,11,44,4,17083.49,15160.597500000002
2041-11-17,S002,Home,11925.05,0,0,518,30.4,7.5,3.6,1377,2041,11,46,4,15401.01,14425.152500000002
2042-01-12,S002,Electronics,19813.06,1,0,701,30.9,5.0,28.8,1810,2042,1,2,1,11925.05,16055.652500000002
2042-02-23,S002,Clothing,13639.85,1,0,550,34.0,3.2,19.6,1674,2042,2,8,1,19813.06,15194.742500000002
2042-06-08,S002,Clothing,18182.01,1,0,634,27.8,14.1,17.4,1585,2042,6,23,2,13639.85,15889.992500000002
2042-06-15,S002,Beauty,13674.74,1,0,436,31.3,8.5,23.6,1502,2042,6,24,2,18182.01,16327.415000000003
2042-07-06,S002,Grocery,12606.63,0,0,503,35.2,3.4,2.6,1335,2042,7,27,3,13674.74,14525.807500000003
2042-09-28,S002,Home,19082.76,1,0,728,23.6,11.1,21.4,1534,2042,9,39,3,12606.63,15886.535000000002
2042-11-09,S002,Grocery,17434.93,1,0,734,22.1,16.3,10.8,1643,2042,11,45,4,19082.76,15699.765000000001
2042-12-21,S002,Electronics,8198.94,0,0,373,30.4,8.9,2.8,1040,2042,12,51,4,17434.93,14330.815000000002
2042-12-28,S002,Beauty,16288.03,1,0,590,24.9,7.3,14.9,1629,2042,12,52,4,8198.94,15251.165
2043-01-18,S002,Home,18405.02,1,0,722,29.5,1.3,12.2,1591,2043,1,3,1,16288.03,15081.730000000003
2043-02-01,S002,Grocery,15795.45,0,1,636,25.3,7.7,1.0,1435,2043,2,5,1,18405.02,14671.860000000002
2024-01-21,S003,Home,11943.66,0,0,540,35.0,18.5,1.6,1159,2024,1,3,1,13152.005000000001,11943.66
2024-02-18,S003,Electronics,16008.88,1,0,641,23.2,19.1,29.1,1727,2024,2,7,1,11943.66,13976.27
2024-02-25,S003,Grocery,10573.05,0,0,400,26.3,11.0,4.7,1192,2024,2,8,1,16008.88,12841.863333333333
2024-03-03,S003,Home,16608.15,1,0,666,36.3,5.0,11.8,1606,2024,3,9,1,10573.05,13783.435
2024-03-24,S003,Clothing,17517.46,1,0,697,28.8,14.9,16.5,1742,2024,3,12,1,16608.15,15176.885
2024-06-30,S003,Beauty,9483.92,0,0,436,27.8,9.4,4.0,1395,2024,6,26,2,17517.46,13545.644999999999
2024-07-07,S003,Grocery,11828.37,0,0,543,27.8,3.1,2.4,1255,2024,7,27,3,9483.92,13859.475
2024-08-04,S003,Beauty,11685.75,0,0,362,34.9,1.8,1.2,1555,2024,8,31,3,11828.37,12628.875
2024-09-01,S003,Home,11187.83,0,0,547,34.7,13.7,0.0,1140,2024,9,35,3,11685.75,11046.4675
2024-09-15,S003,Electronics,12066.89,0,0,538,27.9,6.0,0.3,1334,2024,9,37,3,11187.83,11692.210000000001
2025-01-19,S003,Beauty,16226.79,1,0,711,31.2,16.2,14.2,1623,2025,1,3,1,12066.89,12791.815
2025-09-21,S003,Grocery,19603.41,1,0,779,33.0,0.8,16.8,1909,2025,9,38,3,16226.79,14771.23
2025-09-28,S003,Beauty,10836.23,0,0,409,32.7,8.5,3.5,1181,2025,9,39,3,19603.41,14683.329999999998
2025-10-12,S003,Electronics,12280.22,0,0,420,29.3,24.1,3.1,1162,2025,10,41,4,10836.23,14736.662499999999
2025-10-19,S003,Electronics,15424.35,1,0,605,32.7,10.9,15.9,1883,2025,10,42,4,12280.22,14536.052499999998
2025-11-02,S003,Electronics,16628.54,1,0,520,35.2,11.8,27.6,1477,2025,11,44,4,15424.35,13792.335
2026-01-18,S003,Grocery,10269.38,0,0,531,33.5,1.2,0.1,1325,2026,1,3,1,16628.54,13650.622500000001
2026-02-01,S003,Clothing,17251.07,1,0,754,26.4,4.2,13.0,1686,2026,2,5,1,10269.38,14893.335000000001
2026-02-08,S003,Clothing,13303.44,0,0,515,33.8,6.8,4.3,1285,2026,2,6,1,17251.07,14363.107500000002
2026-02-22,S003,Home,16372.11,1,0,617,35.9,14.7,6.1,1608,2026,2,8,1,13303.44,14299.0
2026-03-08,S003,Clothing,12202.35,0,0,550,29.1,0.2,4.0,1444,2026,3,10,1,16372.11,14782.2425
2026-04-05,S003,Beauty,10679.2,0,0,492,28.1,14.3,0.1,1334,2026,4,14,2,12202.35,13139.275000000001
2026-05-17,S003,Clothing,17163.1,0,1,729,18.0,9.7,3.5,1436,2026,5,20,2,10679.2,14104.189999999999
2026-07-05,S003,Electronics,11565.09,0,0,431,26.2,2.8,2.5,1317,2026,7,27,3,17163.1,12902.435
2026-08-02,S003,Clothing,16247.37,1,0,632,34.5,6.2,19.3,1672,2026,8,31,3,11565.09,13913.69
2026-08-09,S003,Electronics,12799.88,0,0,570,25.6,6.1,4.9,1419,2026,8,32,3,16247.37,14443.859999999999
2026-11-01,S003,Home,9707.04,0,0,528,29.7,12.8,0.9,1352,2026,11,44,4,12799.88,12579.845
2026-12-20,S003,Electronics,9678.1,0,0,431,32.2,20.5,3.9,1284,2026,12,51,4,9707.04,12108.0975
2027-01-24,S003,Beauty,13262.17,0,0,529,31.2,6.9,1.0,1225,2027,1,3,1,9678.1,11361.7975
2027-01-31,S003,Grocery,17130.28,0,1,758,23.4,1.1,0.9,1536,2027,1,4,1,13262.17,12444.3975
2027-02-28,S003,Electronics,17119.12,1,0,652,25.5,3.1,29.2,1650,2027,2,8,1,17130.28,14297.4175
2027-03-21,S003,Beauty,11539.93,0,0,487,32.4,17.3,3.0,1146,2027,3,11,1,17119.12,14762.875
2027-05-23,S003,Electronics,23125.97,1,1,885,22.4,8.9,17.1,1697,2027,5,20,2,11539.93,17228.825
2027-06-27,S003,Home,13103.88,0,0,572,24.7,11.8,4.5,1339,2027,6,25,2,23125.97,16222.225
2027-08-22,S003,Home,11122.11,0,0,528,24.4,10.5,2.3,1146,2027,8,33,3,13103.88,14722.9725
2027-10-03,S003,Grocery,17264.43,1,0,696,32.2,5.9,14.9,1694,2027,10,39,4,11122.11,16154.0975
2027-10-10,S003,Electronics,18528.74,1,0,824,34.8,7.9,22.3,1687,2027,10,40,4,17264.43,15004.79
2027-11-14,S003,Home,16588.13,1,0,637,28.4,12.6,16.8,1581,2027,11,45,4,18528.74,15875.8525
2027-12-12,S003,Beauty,12307.81,0,0,562,30.1,4.9,0.2,1250,2027,12,49,4,16588.13,16172.2775
2027-12-26,S003,Clothing,18531.73,1,0,717,27.4,0.2,18.6,1677,2027,12,51,4,12307.81,16489.1025
2028-01-16,S003,Beauty,14245.18,0,1,705,30.2,14.6,1.4,1245,2028,1,2,1,18531.73,15418.2125
2028-01-30,S003,Clothing,12125.31,0,0,486,28.6,8.6,0.3,1215,2028,1,4,1,14245.18,14302.5075
2028-02-13,S003,Grocery,10249.79,0,0,478,26.1,27.0,4.1,1223,2028,2,6,1,12125.31,13788.0025
2028-02-20,S003,Clothing,15973.75,1,0,604,29.2,5.6,16.3,1687,2028,2,7,1,10249.79,13148.5075
2028-04-09,S003,Home,16580.15,1,0,800,34.6,1.8,9.7,1650,2028,4,14,2,15973.75,13732.25
2028-05-21,S003,Clothing,16399.73,1,0,724,28.8,5.1,8.0,1751,2028,5,20,2,16580.15,14800.855
2028-08-13,S003,Grocery,12646.55,0,0,455,23.9,0.9,4.9,1187,2028,8,32,3,16399.73,15400.045
2028-09-03,S003,Electronics,11519.27,0,0,496,30.1,0.9,0.5,1081,2028,9,35,3,12646.55,14286.425
2028-09-10,S003,Grocery,10318.55,0,0,402,30.9,7.7,3.0,1287,2028,9,36,3,11519.27,12721.025
